Conference,Division,Team,Game Type,Week,Venue,Venue Capacity,Venue Surface,Venue Type,Temperature,Weather Condition,Humidity,Wind Speed,Wind Direction,Total First Downs,Passing First Downs,Rushing First Downs,Penalty First Downs,Third Down Attempts,Third Down Conversions,Third Down Conversion %,Third Down Passing Conversions,Third Down Rushing Conversions,Third Down Penalty Conversions,Fourth Down Attempts,Fourth Down Conversions,Fourth Down Conversion %,Fourth Down Passing Conversions,Fourth Down Rushing Conversions,Fourth Down Penalty Conversions,Total Plays,Total Yards,Yards per Play,Rushing Plays,Rushing Yards,Rushing Yards per Play,Passing Plays,Passing Completions,Passing Yards per Play,Interceptions,Sacks,Net Passing Yards,Gross Passing Yards,Sack Yards,Total Return Yards,Punt Returns,Punt Return Yards,Kick-off Returns,Kick-off Return Yards,Interception Returns,Interception Return Yards,Kick-offs,Kick-offs in Endzone,Touchbacks,Punts,Average Punt Yards,Punts Blocked,Average Net Punt Yards,Penalties,Penalty Yards,Fumbles,Fumbles Lost,Total TD,Passing TD,Rushing TD,Interception TD,Fumble TD,Punt Return TD,Kick-off Return TD,Field Goal Return TD,Extra Point Attempts,Extra Points Made,Extra Points Blocked,Two-Point Conversion Attempts,Two-Point Conversions Made,Field Goal Attempts,Field Goals Made,Field Goals Blocked,Redzone Visits,Redzone TD,Redzone Efficiency,Goal-to-go Attempts,Goal-to-go TD,Goal-to-go Efficiency,Safeties,Turnovers,Points Scored,Time of Possesion,Win / Loss
NFC,NFC North,MIN,REG,1,Edward Jones Dome,66000,artificial,dome,71,Sunny,57,8,E,18,10,6,2,12,3,25,3,0,0,0,0,0,0,0,0,57,355,6.228,32,185,5.781,25,17,6.8,0,0,170,170,0,87,1,6,2,48,2,81,7,7,6,5,47.4,0,42.6,7,60,2,0,4,2,1,1,0,0,0,0,4,4,0,0,0,2,2,0,2,2,100,1,1,100,0,0,34,28:17,L
NFC,NFC South,TB,REG,1,Raymond James Stadium,65890,turf,outdoor,88,Partly Cloudy ,49,4,W,17,10,5,2,12,6,50,4,2,0,0,0,0,0,0,0,55,264,4.8,17,102,6,35,22,4.263,2,3,162,183,21,56,4,56,2,52,0,0,3,3,3,5,44,0,36.8,3,15,3,1,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,100,1,1,100,0,3,14,24:48,L
NFC,NFC South,CAR,REG,1,Raymond James Stadium,65890,turf,outdoor,88,Partly Cloudy ,49,4,W,19,14,5,0,15,6,40,6,0,0,1,1,100,0,1,0,68,334,4.912,33,113,3.424,34,24,6.314,0,1,221,230,9,40,3,36,0,0,2,4,4,4,2,6,47,0,37.667,6,55,1,0,2,2,0,0,0,0,0,0,2,2,0,0,0,3,2,0,3,1,33.333,1,1,100,0,0,20,35:12,W
NFC,NFC East,DAL,REG,1,AT&T Stadium,80000,artificial,retractable_dome,84,Partly Cloudy ,57,7,N,26,14,8,4,9,5,55.556,4,1,0,1,1,100,0,1,0,63,382,6.063,23,127,5.522,37,23,6.375,3,3,255,281,26,0,2,0,2,58,0,0,4,3,3,2,53.5,0,47,10,72,3,1,2,1,1,0,0,0,0,0,2,2,0,0,0,1,1,0,4,2,50,2,1,50,0,4,17,31:24,L
NFC,NFC West,SF,REG,1,AT&T Stadium,80000,artificial,retractable_dome,84,Partly Cloudy ,57,7,N,19,11,6,2,12,7,58.333,6,1,0,0,0,0,0,0,0,54,319,5.907,30,127,4.233,23,16,8,0,1,192,201,9,61,1,13,1,0,3,48,5,5,3,4,45.75,0,45.75,11,78,0,0,4,2,1,0,1,0,0,0,4,4,0,0,0,1,0,0,3,2,66.667,2,2,100,0,0,28,28:36,W
AFC,AFC West,DEN,REG,1,Sports Authority Field at Mile High,76125,turf,outdoor,77,Partly Cloudy ,24,11,SSW,24,13,8,3,14,7,50,4,3,0,0,0,0,0,0,0,69,361,5.232,32,102,3.188,36,22,7,0,1,259,269,10,21,3,4,0,0,2,17,6,6,6,5,46.8,0,42,7,70,2,0,4,3,1,0,0,0,0,0,4,4,0,0,0,1,1,0,4,3,75,4,3,75,0,0,31,32:24,W
AFC,AFC South,IND,REG,1,Sports Authority Field at Mile High,76125,turf,outdoor,77,Partly Cloudy ,24,11,SSW,24,20,2,2,13,4,30.769,4,0,0,4,2,50,2,0,0,70,408,5.829,14,54,3.857,53,35,6.321,2,3,354,370,16,24,5,24,0,0,0,0,5,4,4,4,49.75,0,43.75,9,45,1,0,3,2,1,0,0,0,0,0,3,3,0,0,0,1,1,0,4,2,50,4,2,50,0,2,24,27:36,L
NFC,NFC North,DET,REG,1,Ford Field,65000,artificial,dome,73,Sunny,50,8,SE,20,14,5,1,15,10,66.667,9,1,0,0,0,0,0,0,0,63,417,6.619,30,76,2.533,32,22,10.333,0,1,341,346,5,42,3,11,0,0,2,31,7,6,6,2,54.5,0,39.5,8,85,1,0,4,2,2,0,0,0,0,0,3,3,0,1,1,3,2,0,5,3,60,3,2,66.667,0,0,35,36:04,W
NFC,NFC East,NYG,REG,1,Ford Field,65000,artificial,dome,73,Sunny,50,8,SE,16,8,4,4,13,3,23.077,3,0,0,3,2,66.667,1,1,0,57,197,3.456,22,53,2.409,33,18,4.114,2,2,144,163,19,30,2,30,1,14,0,0,3,3,3,5,40.2,0,38,4,25,0,0,2,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,100,2,2,100,0,2,14,23:56,L
NFC,NFC West,ARI,REG,1,University of Phoenix Stadium,63400,turf,retractable_dome,100,Partly Cloudy ,29,7,SW,22,14,4,4,13,6,46.154,4,2,0,0,0,0,0,0,0,65,403,6.2,26,109,4.192,37,24,7.538,0,2,294,304,10,12,0,0,3,49,1,12,4,4,4,4,43.6,1,32.2,5,23,2,2,2,2,0,0,0,0,0,0,0,0,0,2,0,2,2,0,3,2,66.667,1,1,100,0,2,18,31:49,W
