Conference,Division,Team,Game Type,Week,Venue,Venue Capacity,Venue Surface,Venue Type,Temperature,Weather Condition,Humidity,Wind Speed,Wind Direction,Total First Downs,Passing First Downs,Rushing First Downs,Penalty First Downs,Third Down Attempts,Third Down Conversions,Third Down Conversion %,Third Down Passing Conversions,Third Down Rushing Conversions,Third Down Penalty Conversions,Fourth Down Attempts,Fourth Down Conversions,Fourth Down Conversion %,Fourth Down Passing Conversions,Fourth Down Rushing Conversions,Fourth Down Penalty Conversions,Total Plays,Total Yards,Yards per Play,Rushing Plays,Rushing Yards,Rushing Yards per Play,Passing Plays,Passing Completions,Passing Yards per Play,Interceptions,Sacks,Net Passing Yards,Gross Passing Yards,Sack Yards,Total Return Yards,Punt Returns,Punt Return Yards,Kick-off Returns,Kick-off Return Yards,Interception Returns,Interception Return Yards,Kick-offs,Kick-offs in Endzone,Touchbacks,Punts,Average Punt Yards,Punts Blocked,Average Net Punt Yards,Penalties,Penalty Yards,Fumbles,Fumbles Lost,Total TD,Passing TD,Rushing TD,Interception TD,Fumble TD,Punt Return TD,Kick-off Return TD,Field Goal Return TD,Extra Point Attempts,Extra Points Made,Extra Points Blocked,Two-Point Conversion Attempts,Two-Point Conversions Made,Field Goal Attempts,Field Goals Made,Field Goals Blocked,Redzone Visits,Redzone TD,Redzone Efficiency,Goal-to-go Attempts,Goal-to-go TD,Goal-to-go Efficiency,Safeties,Turnovers,Points Scored,Time of Possesion,Win / Loss
NFC,NFC North,DET,REG,4,MetLife Stadium,82500,artificial,outdoor,,,,,,17,12,5,0,15,6,40,5,1,0,0,0,0,0,0,0,65,360,5.538,27,88,3.259,34,24,7.158,0,4,272,293,21,54,1,14,2,35,1,40,5,5,4,6,51,0,44.833,5,33,0,0,3,2,1,0,0,0,0,0,3,3,0,0,0,2,1,0,2,2,100,1,1,100,0,0,24,34:53,W
AFC,AFC South,IND,REG,4,Lucas Oil Stadium,67000,artificial,retractable_dome,79,Partly Cloudy ,42,4,NE,31,21,7,3,14,7,50,6,1,0,0,0,0,0,0,0,82,498,6.073,41,105,2.561,41,29,9.585,1,0,393,393,0,28,4,14,2,61,2,14,8,7,7,4,42,0,40.25,11,88,0,0,5,4,1,0,0,0,0,0,5,5,0,0,0,2,2,0,6,4,66.667,3,3,100,0,1,41,42:21,W
AFC,AFC South,TEN,REG,4,Lucas Oil Stadium,67000,artificial,retractable_dome,79,Partly Cloudy ,42,4,NE,16,9,4,3,9,1,11.111,0,1,0,0,0,0,0,0,0,47,261,5.553,16,85,5.313,28,14,5.677,2,3,176,194,18,14,1,7,0,0,1,7,4,4,2,6,44.167,0,41.833,6,68,2,1,2,1,1,0,0,0,0,0,2,2,0,0,0,1,1,0,3,2,66.667,2,2,100,0,3,17,17:39,L
AFC,AFC North,BAL,REG,4,M&T Bank Stadium,71008,artificial,outdoor,79,Partly Cloudy ,48,0,N,25,15,7,3,13,10,76.923,8,2,0,0,0,0,0,0,0,61,454,7.443,30,127,4.233,31,22,10.548,0,0,327,327,0,18,1,18,0,0,0,0,7,7,6,1,39,0,39,4,40,1,0,5,2,2,0,1,0,0,0,5,5,0,0,0,2,1,0,3,2,66.667,1,1,100,0,0,38,30:24,W
NFC,NFC South,CAR,REG,4,M&T Bank Stadium,71008,artificial,outdoor,79,Partly Cloudy ,48,0,N,20,16,2,2,15,10,66.667,10,0,0,0,0,0,0,0,0,62,315,5.081,26,67,2.577,34,20,6.889,0,2,248,268,20,0,0,0,1,23,0,0,3,3,3,4,48.5,0,39,7,59,2,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,3,0,0,1,0,0,0,1,10,29:36,L
NFC,NFC North,CHI,REG,4,Soldier Field,61500,turf,outdoor,75,Partly Cloudy ,54,0,N,33,14,16,3,11,7,63.636,4,3,0,3,2,66.667,0,2,0,77,496,6.442,41,235,5.732,35,23,7.25,2,1,261,265,4,0,0,0,2,43,0,0,4,1,0,0,0,0,0,6,46,3,0,2,2,0,0,0,0,0,0,2,2,0,0,0,1,1,0,4,2,50,3,1,33.333,0,2,17,36:22,L
NFC,NFC North,GB,REG,4,Soldier Field,61500,turf,outdoor,75,Partly Cloudy ,54,0,N,21,16,3,2,8,4,50,4,0,0,0,0,0,0,0,0,47,358,7.617,18,56,3.111,28,22,10.414,0,1,302,302,0,102,0,0,3,67,2,102,7,7,5,0,0,0,0,9,70,0,0,5,4,1,0,0,0,0,0,5,5,0,0,0,2,1,1,5,4,80,4,3,75,0,0,38,23:38,W
AFC,AFC West,OAK,REG,4,Wembley Stadium,90000,artificial,retractable_dome,70,Partly Cloudy ,64,9,E,17,15,2,0,14,6,42.857,5,1,0,1,0,0,0,0,0,64,317,4.953,18,53,2.944,44,28,5.739,3,2,264,275,11,45,1,17,5,112,1,28,3,2,1,6,48.667,0,47.167,9,80,1,1,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,100,1,1,100,0,4,14,29:06,L
AFC,AFC East,MIA,REG,4,Wembley Stadium,90000,artificial,retractable_dome,70,Partly Cloudy ,64,9,E,24,15,8,1,11,5,45.455,5,0,0,2,1,50,0,1,0,66,435,6.591,35,157,4.486,31,23,8.968,1,0,278,278,0,115,1,9,2,61,3,106,7,6,2,2,40.5,0,32,5,35,3,2,5,2,2,0,1,0,0,0,5,5,0,0,0,1,1,0,8,4,50,2,1,50,0,3,38,30:54,W
AFC,AFC West,SD,REG,4,Qualcomm Stadium,70561,turf,outdoor,72,Partly Cloudy ,61,12,S,19,16,2,1,16,9,56.25,7,2,0,0,0,0,0,0,0,61,407,6.672,20,42,2.1,39,29,8.902,0,2,365,377,12,27,1,2,1,22,2,25,8,5,1,3,42,0,42,6,43,1,0,3,3,0,0,0,0,0,0,3,3,0,0,0,4,4,0,4,0,0,0,0,0,0,0,33,29:26,W
AFC,AFC South,JAC,REG,4,Qualcomm Stadium,70561,turf,outdoor,72,Partly Cloudy ,61,12,S,21,12,7,2,14,9,64.286,5,4,0,2,0,0,0,0,0,65,320,4.923,25,85,3.4,37,29,5.875,2,3,235,254,19,0,0,0,7,189,0,0,3,3,2,2,55.5,0,44.5,3,32,1,1,2,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,100,2,2,100,0,3,14,30:34,L
NFC,NFC North,MIN,REG,4,TCF Bank Stadium,52000,artificial,outdoor,83,Sunny,38,9,S,26,14,11,1,13,6,46.154,3,3,0,1,1,100,0,1,0,74,558,7.541,44,241,5.477,30,19,10.567,0,0,317,317,0,39,2,39,2,86,2,0,9,7,6,2,43,0,35,6,40,0,0,4,0,4,0,0,0,0,0,3,3,0,1,1,5,4,0,6,4,66.667,3,2,66.667,0,0,41,32:52,W
NFC,NFC South,ATL,REG,4,TCF Bank Stadium,52000,artificial,outdoor,83,Sunny,38,9,S,23,16,6,1,15,10,66.667,7,3,0,0,0,0,0,0,0,64,411,6.422,22,123,5.591,41,25,6.857,2,1,288,298,10,16,1,16,3,62,0,0,5,5,3,5,50,0,42.2,5,50,0,0,4,3,1,0,0,0,0,0,4,4,0,0,0,0,0,0,1,1,100,1,1,100,0,2,28,27:08,L
NFC,NFC West,SF,REG,4,Levi's Stadium,68500,turf,outdoor,68,Partly Cloudy ,60,0,S,20,8,8,4,19,8,42.105,5,3,0,0,0,0,0,0,0,76,407,5.355,42,218,5.19,30,17,5.559,1,4,189,218,29,27,4,27,2,45,2,0,7,7,4,5,39.167,1,21.5,10,80,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,4,4,0,3,1,33.333,0,0,0,0,1,26,42:17,W
NFC,NFC East,PHI,REG,4,Levi's Stadium,68500,turf,outdoor,68,Partly Cloudy ,60,0,S,11,10,1,0,13,5,38.462,4,1,0,2,0,0,0,0,0,56,213,3.804,12,22,1.833,43,21,4.341,2,1,191,195,4,139,3,86,3,65,1,53,4,3,2,6,48.5,0,40.667,10,70,2,2,3,0,0,1,0,1,0,0,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,4,21,17:43,L
NFC,NFC East,DAL,REG,4,AT&T Stadium,80000,artificial,retractable_dome,86,Partly Cloudy ,37,0,N,24,14,10,0,14,8,57.143,4,4,0,0,0,0,0,0,0,65,445,6.846,35,190,5.429,29,22,8.5,0,1,255,262,7,1,0,0,1,30,1,1,7,7,7,4,41.5,0,37.75,6,50,2,0,5,3,2,0,0,0,0,0,5,5,0,0,0,1,1,0,3,3,100,1,1,100,0,0,38,34:45,W
NFC,NFC South,NO,REG,4,AT&T Stadium,80000,artificial,retractable_dome,86,Partly Cloudy ,37,0,N,20,14,4,2,10,4,40,1,3,0,2,1,50,1,0,0,59,438,7.424,13,104,8,44,32,7.261,1,2,334,340,6,15,2,15,0,0,0,0,4,4,3,2,41.5,0,41.5,3,20,2,2,2,2,0,0,0,0,0,0,2,2,0,0,0,2,1,0,3,2,66.667,0,0,0,0,3,17,25:15,L
AFC,AFC West,KC,REG,4,Arrowhead Stadium,79451,turf,outdoor,82,Partly Cloudy ,45,6,NE,26,15,10,1,12,7,58.333,5,2,0,0,0,0,0,0,0,66,443,6.712,38,207,5.447,26,20,8.429,0,2,236,248,12,76,2,3,2,36,2,73,7,6,5,4,45,0,42.5,4,35,0,0,5,3,1,1,0,0,0,0,5,5,0,0,0,2,2,0,6,4,66.667,5,4,80,0,0,41,36:27,W
AFC,AFC East,NE,REG,4,Arrowhead Stadium,79451,turf,outdoor,82,Partly Cloudy ,45,6,NE,13,10,2,1,9,2,22.222,2,0,0,0,0,0,0,0,0,49,290,5.918,16,75,4.688,30,20,6.515,2,3,215,229,14,10,2,10,2,45,0,0,3,2,1,6,48.833,0,45,3,30,2,1,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,100,0,0,0,0,3,14,23:33,L
NFC,NFC North,GB,REG,5,Lambeau Field,80750,turf,outdoor,63,Mist,94,8,ESE,16,8,6,2,11,4,36.364,4,0,0,0,0,0,0,0,0,52,320,6.154,28,156,5.571,22,15,6.833,1,2,164,178,14,77,4,18,0,0,2,59,7,6,2,6,50.667,0,45.833,5,30,0,0,6,3,2,1,0,0,0,0,6,6,0,0,0,0,0,0,4,4,100,0,0,0,0,1,42,27:51,W
NFC,NFC North,MIN,REG,5,Lambeau Field,80750,turf,outdoor,63,Mist,94,8,ESE,20,13,6,1,14,4,28.571,2,2,0,2,1,50,1,0,0,75,299,3.987,25,111,4.44,44,22,3.76,2,6,188,222,34,14,2,9,5,134,1,5,3,3,3,7,43.429,0,40.857,9,91,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,3,1,33.333,3,1,33.333,0,3,10,32:09,L
NFC,NFC East,NYG,REG,5,MetLife Stadium,82500,artificial,outdoor,,,,,,22,11,7,4,15,9,60,6,3,0,0,0,0,0,0,0,65,317,4.877,34,124,3.647,30,19,6.226,0,1,193,200,7,6,0,0,5,83,1,6,7,5,3,3,57.667,0,43.667,3,15,2,2,3,2,1,0,0,0,0,0,3,3,0,0,0,3,3,0,4,3,75,3,2,66.667,0,2,30,31:41,W
NFC,NFC South,ATL,REG,5,MetLife Stadium,82500,artificial,outdoor,,,,,,20,13,5,2,13,2,15.385,2,0,0,2,1,50,1,0,0,67,397,5.925,21,90,4.286,45,29,6.674,1,1,307,316,9,22,2,22,4,70,0,0,5,3,0,5,32.6,0,32.6,8,81,1,0,2,1,1,0,0,0,0,0,2,2,0,0,0,2,2,0,3,1,33.333,3,1,33.333,0,1,20,28:19,L
AFC,AFC South,IND,REG,5,Lucas Oil Stadium,67000,artificial,retractable_dome,54,Partly Cloudy ,50,14,S,26,19,6,1,15,7,46.667,6,1,0,1,0,0,0,0,0,80,432,5.4,30,127,4.233,49,32,6.1,2,1,305,312,7,36,3,7,1,25,1,29,5,5,3,3,47.667,0,47.667,6,83,3,2,2,1,1,0,0,0,0,0,2,2,0,0,0,2,2,0,5,2,40,4,1,25,0,4,20,38:43,W
AFC,AFC North,BAL,REG,5,Lucas Oil Stadium,67000,artificial,retractable_dome,54,Partly Cloudy ,50,14,S,15,9,4,2,11,1,9.091,1,0,0,3,1,33.333,1,0,0,57,287,5.035,15,90,6,38,22,4.69,1,4,197,235,38,21,1,0,2,51,2,21,3,3,2,5,48.4,0,47,5,36,2,2,1,0,1,0,0,0,0,0,1,1,0,0,0,2,2,0,3,1,33.333,0,0,0,0,3,13,21:17,L
NFC,NFC East,DAL,REG,5,AT&T Stadium,80000,artificial,retractable_dome,,,,,,24,16,8,0,14,8,57.143,6,2,0,0,0,0,0,0,0,75,456,6.08,33,140,4.242,41,28,7.524,1,1,316,324,8,62,5,60,2,53,1,2,5,5,4,4,46.25,0,38.75,7,56,2,2,2,2,0,0,0,0,0,0,2,2,0,0,0,3,2,0,3,1,33.333,1,1,100,0,3,20,36:07,W
AFC,AFC South,HOU,REG,5,AT&T Stadium,80000,artificial,retractable_dome,,,,,,15,7,8,0,13,4,30.769,2,2,0,1,1,100,1,0,0,56,330,5.893,31,176,5.677,25,16,6.16,1,0,154,154,0,35,3,30,1,21,1,5,4,4,2,7,46.571,0,35.143,5,35,0,0,2,0,2,0,0,0,0,0,2,2,0,0,0,1,1,0,3,2,66.667,1,1,100,0,1,17,31:08,L
NFC,NFC East,PHI,REG,5,Lincoln Financial Field,68532,turf,outdoor,57,Partly Cloudy ,44,13,WSW,22,13,7,2,15,8,53.333,5,3,0,0,0,0,0,0,0,70,352,5.029,33,145,4.394,37,24,5.595,1,0,207,207,0,23,1,23,1,15,0,0,7,7,2,4,40.75,0,39,4,39,2,2,4,2,0,0,1,0,0,0,4,4,0,0,0,2,2,0,3,1,33.333,2,1,50,0,3,34,27:01,W
NFC,NFC West,STL,REG,5,Lincoln Financial Field,68532,turf,outdoor,57,Partly Cloudy ,44,13,WSW,29,21,7,1,14,7,50,7,0,0,1,0,0,0,0,0,76,466,6.132,23,125,5.435,49,29,6.434,0,4,341,375,34,7,2,7,5,126,1,0,5,4,4,4,33.2,1,28.6,10,82,3,3,4,3,1,0,0,0,0,0,4,4,0,0,0,0,0,0,4,3,75,3,2,66.667,0,3,28,32:59,L
AFC,AFC South,TEN,REG,5,LP Field,69143,turf,outdoor,63,Partly Cloudy ,36,12,SSW,22,11,8,3,14,8,57.143,6,2,0,1,0,0,0,0,0,65,410,6.308,30,149,4.967,32,21,7.457,0,3,261,273,12,16,3,16,2,31,1,0,6,3,2,4,37.6,1,34.8,7,68,0,0,4,3,1,0,0,0,0,0,4,4,0,0,0,0,0,0,3,3,100,0,0,0,1,0,28,30:43,L
AFC,AFC North,CLE,REG,5,LP Field,69143,turf,outdoor,63,Partly Cloudy ,36,12,SSW,27,16,10,1,12,4,33.333,2,2,0,2,0,0,0,0,0,74,460,6.216,36,176,4.889,37,21,7.474,1,1,284,291,7,14,4,14,4,79,0,0,6,6,4,3,49,0,43.667,7,74,0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,2,2,0,4,3,75,1,1,100,0,1,29,29:17,W
NFC,NFC South,NO,REG,5,Mercedes-Benz Superdome,76468,artificial,dome,73,Partly Cloudy ,38,9,E,34,17,12,5,13,6,46.154,5,1,0,0,0,0,0,0,0,86,511,5.942,29,140,4.828,57,35,6.509,3,0,371,371,0,0,1,0,4,88,1,0,7,7,4,2,48.5,0,33,6,50,0,0,4,2,2,0,0,0,0,0,2,2,0,1,0,3,3,0,5,3,60,1,1,100,0,3,37,38:32,W
NFC,NFC South,TB,REG,5,Mercedes-Benz Superdome,76468,artificial,dome,73,Partly Cloudy ,38,9,E,20,13,4,3,9,3,33.333,2,1,0,0,0,0,0,0,0,54,314,5.815,21,66,3.143,32,19,7.515,1,1,248,249,1,44,1,11,3,75,3,33,8,5,4,4,40.5,0,40.5,15,113,2,0,4,2,1,1,0,0,0,0,4,4,0,0,0,1,1,0,2,2,100,2,2,100,1,1,31,27:04,L
NFC,NFC North,DET,REG,5,Ford Field,65000,artificial,dome,54,Overcast ,50,17,SW,13,7,3,3,11,1,9.091,1,0,0,0,0,0,0,0,0,57,273,4.789,20,69,3.45,31,18,5.514,1,6,204,231,27,89,2,48,0,0,1,41,3,3,3,7,47.143,0,44.286,8,62,3,1,2,1,0,1,0,0,0,0,2,2,0,0,0,3,0,0,1,1,100,0,0,0,0,2,14,27:41,L
AFC,AFC East,BUF,REG,5,Ford Field,65000,artificial,dome,54,Overcast ,50,17,SW,19,15,2,2,16,5,31.25,4,1,0,0,0,0,0,0,0,67,343,5.119,22,49,2.227,43,30,6.533,1,2,294,308,14,41,3,20,0,0,1,21,5,5,5,8,43.125,0,37.125,11,74,3,0,1,1,0,0,0,0,0,0,0,0,0,1,1,4,3,0,3,1,33.333,1,1,100,0,1,17,32:19,W
NFC,NFC South,CAR,REG,5,Bank of America Stadium,73778,turf,outdoor,61,Sunny,36,0,SW,22,15,5,2,12,5,41.667,4,1,0,0,0,0,0,0,0,64,321,5.016,27,90,3.333,35,19,6.243,1,2,231,255,24,117,3,81,1,18,2,36,6,6,4,5,48.2,0,38.2,3,30,3,2,4,2,1,0,0,1,0,0,4,4,0,0,0,1,1,0,3,3,100,3,3,100,0,3,31,27:01,W
NFC,NFC North,CHI,REG,5,Bank of America Stadium,73778,turf,outdoor,61,Sunny,36,0,SW,17,11,5,1,13,5,38.462,4,1,0,1,0,0,0,0,0,62,347,5.597,22,85,3.864,36,28,6.55,2,4,262,289,27,32,2,30,2,45,1,2,5,4,4,4,51.25,0,31,10,80,3,2,3,2,1,0,0,0,0,0,3,3,0,0,0,2,1,0,3,2,66.667,1,1,100,0,4,24,32:59,L
AFC,AFC South,JAC,REG,5,EverBank Field,67246,turf,outdoor,71,Sunny,27,11,N,12,8,4,0,12,3,25,1,2,0,1,1,100,0,1,0,52,243,4.673,15,56,3.733,36,22,5.054,2,1,187,191,4,14,3,14,3,66,0,0,4,4,2,5,45,0,41,4,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,2,9,24:43,W
AFC,AFC North,PIT,REG,5,EverBank Field,67246,turf,outdoor,71,Sunny,27,11,N,20,15,5,0,16,8,50,6,2,0,0,0,0,0,0,0,68,372,5.471,28,111,3.964,36,26,6.525,0,4,261,273,12,42,4,20,2,36,2,22,4,2,0,5,45.4,0,38.6,7,50,1,1,2,1,0,1,0,0,0,0,2,2,0,0,0,1,1,0,4,1,25,2,1,50,0,1,17,35:17,L
AFC,AFC West,DEN,REG,5,Sports Authority Field at Mile High,76125,turf,outdoor,68,Partly Cloudy ,26,6,NNW,24,18,5,1,16,7,43.75,6,1,0,0,0,0,0,0,0,76,568,7.474,28,92,3.286,47,31,9.917,2,1,476,479,3,38,6,38,0,0,0,0,8,8,8,4,49.75,0,48,7,67,0,0,5,4,1,0,0,0,0,0,5,5,0,0,0,3,2,0,3,3,100,1,1,100,0,2,41,35:17,W
NFC,NFC West,ARI,REG,5,Sports Authority Field at Mile High,76125,turf,outdoor,68,Partly Cloudy ,26,6,NNW,9,7,1,1,16,3,18.75,3,0,0,0,0,0,0,0,0,56,215,3.839,19,37,1.947,34,12,4.811,0,3,178,199,21,31,2,7,0,0,2,24,5,5,5,11,44.273,0,39,3,15,1,0,2,1,1,0,0,0,0,0,2,2,0,0,0,2,2,0,2,1,50,2,1,50,0,0,20,24:43,L
NFC,NFC West,SF,REG,5,Levi's Stadium,68500,turf,outdoor,81,Partly Cloudy ,28,4,WNW,22,10,10,2,16,6,37.5,4,2,0,1,1,100,0,1,0,70,357,5.1,40,171,4.275,27,14,6.2,0,3,186,201,15,2,0,0,4,108,1,2,7,6,2,2,53.5,0,34.5,2,10,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,5,5,0,4,1,25,2,1,50,0,0,22,36:04,W
AFC,AFC West,KC,REG,5,Levi's Stadium,68500,turf,outdoor,81,Partly Cloudy ,28,4,WNW,14,11,3,0,11,6,54.545,6,0,0,0,0,0,0,0,0,50,265,5.3,20,107,5.35,30,16,5.267,1,0,158,158,0,38,2,38,5,119,0,0,4,4,0,4,40.25,0,35.25,4,29,1,0,2,1,1,0,0,0,0,0,2,2,0,0,0,1,1,0,2,2,100,1,1,100,0,1,17,23:56,L
AFC,AFC West,SD,REG,5,Qualcomm Stadium,70561,turf,outdoor,,,,,,21,13,6,2,18,12,66.667,9,3,0,0,0,0,0,0,0,71,439,6.183,40,162,4.05,28,20,8.935,1,3,277,288,11,39,2,12,0,0,1,27,6,6,1,5,40.8,0,35.8,5,76,0,0,4,3,1,0,0,0,0,0,4,4,0,0,0,1,1,0,5,4,80,2,2,100,0,1,31,38:54,W
AFC,AFC East,NYJ,REG,5,Qualcomm Stadium,70561,turf,outdoor,,,,,,11,4,5,2,12,1,8.333,0,1,0,1,0,0,0,0,0,54,151,2.796,21,91,4.333,31,12,1.818,1,2,60,74,14,5,2,5,5,104,1,0,1,1,1,8,51.125,0,49.625,12,94,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,21:06,L
AFC,AFC East,NE,REG,5,Gillette Stadium,68756,artificial,outdoor,48,Clear ,71,0,N,30,17,11,2,16,6,37.5,4,2,0,1,1,100,0,1,0,82,505,6.159,46,220,4.783,35,23,7.917,0,1,285,292,7,12,3,12,1,16,0,0,10,8,3,3,40.333,0,22.667,12,114,1,0,4,2,1,0,1,0,0,0,4,4,0,0,0,5,5,0,6,3,50,2,1,50,0,0,43,38:56,W
AFC,AFC North,CIN,REG,5,Gillette Stadium,68756,artificial,outdoor,48,Clear ,71,0,N,17,8,4,5,7,0,0,0,0,0,1,0,0,0,0,0,48,320,6.667,18,79,4.389,29,18,8.033,0,1,241,249,8,53,2,53,7,141,0,0,4,4,3,4,41.5,0,38.5,4,37,3,3,2,2,0,0,0,0,0,0,2,2,0,0,0,2,1,0,2,1,50,0,0,0,0,3,17,21:04,L
NFC,NFC East,WAS,REG,5,FedEx Field,83000,turf,outdoor,68,Clear ,46,4,SE,14,12,1,1,12,3,25,3,0,0,0,0,0,0,0,0,54,307,5.685,17,32,1.882,36,21,7.432,0,1,275,283,8,0,0,0,1,5,0,0,4,1,1,8,49.875,0,40.625,4,45,1,0,2,2,0,0,0,0,0,0,2,2,0,0,0,1,1,0,2,1,50,0,0,0,0,0,17,25:04,L
NFC,NFC West,SEA,REG,5,FedEx Field,83000,turf,outdoor,68,Clear ,46,4,SE,21,8,10,3,14,5,35.714,3,2,0,1,1,100,0,1,0,63,388,6.159,36,210,5.833,24,18,6.593,0,3,178,201,23,54,5,54,3,37,0,0,6,5,5,6,43.333,0,40,13,90,2,0,3,2,1,0,0,0,0,0,3,3,0,0,0,2,2,0,5,3,60,2,2,100,0,0,27,34:56,W
AFC,AFC South,HOU,REG,6,NRG Stadium,71054,turf,retractable_dome,84,Clear ,62,16,SE,18,9,7,2,8,1,12.5,1,0,0,1,0,0,0,0,0,52,332,6.385,24,136,5.667,23,15,7,0,5,196,212,16,8,0,0,0,0,1,8,5,5,2,4,54.5,0,41.75,5,66,2,2,4,1,2,0,1,0,0,0,4,4,0,0,0,1,0,0,3,3,100,2,2,100,0,2,28,23:11,L
AFC,AFC South,IND,REG,6,NRG Stadium,71054,turf,retractable_dome,84,Clear ,62,16,SE,27,18,6,3,16,8,50,7,1,0,0,0,0,0,0,0,82,456,5.561,35,93,2.657,44,25,7.723,1,3,363,370,7,31,2,31,3,79,0,0,7,6,6,4,39.75,0,39.75,5,51,1,1,4,3,1,0,0,0,0,0,3,3,0,1,0,2,2,0,5,3,60,4,3,75,0,2,33,36:49,W
AFC,AFC North,CLE,REG,6,FirstEnergy Stadium,71516,turf,outdoor,55,Sunny,47,0,ESE,19,7,10,2,11,4,36.364,3,1,0,0,0,0,0,0,0,56,368,6.571,38,158,4.158,17,8,11.667,0,1,210,217,7,5,2,7,1,3,1,-2,6,6,3,6,40.667,0,38.833,6,60,3,1,4,1,3,0,0,0,0,0,4,4,0,0,0,1,1,0,3,3,100,3,3,100,0,1,31,26:55,W
AFC,AFC North,PIT,REG,6,FirstEnergy Stadium,71516,turf,outdoor,55,Sunny,47,0,ESE,22,12,5,5,16,6,37.5,4,2,0,2,0,0,0,0,0,76,359,4.724,32,138,4.313,42,21,5.023,1,2,221,228,7,11,4,11,3,64,0,0,3,2,2,7,46,0,42.143,6,42,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,3,0,0,2,0,0,0,1,10,33:05,L
AFC,AFC East,NYJ,REG,6,MetLife Stadium,82500,artificial,outdoor,61,Sunny,45,6,NNE,15,13,1,1,14,5,35.714,5,0,0,0,0,0,0,0,0,62,204,3.29,15,31,2.067,43,23,3.681,1,4,173,190,17,18,4,18,6,153,0,0,4,4,2,7,45.571,0,42.714,2,9,2,1,2,2,0,0,0,0,0,0,2,2,0,0,0,1,1,0,3,2,66.667,2,2,100,0,2,17,26:26,L
AFC,AFC West,DEN,REG,6,MetLife Stadium,82500,artificial,outdoor,61,Sunny,45,6,NNE,21,13,7,1,16,7,43.75,5,2,0,0,0,0,0,0,0,68,359,5.279,33,138,4.182,33,22,6.314,0,2,221,237,16,22,0,0,2,32,1,22,6,4,0,8,44,0,41.75,11,101,2,0,4,3,0,1,0,0,0,0,4,4,0,0,0,1,1,0,3,2,66.667,2,2,100,0,0,31,33:34,W
NFC,NFC North,MIN,REG,6,TCF Bank Stadium,52000,artificial,outdoor,55,Sunny,51,15,SSE,15,8,5,2,14,3,21.429,2,1,0,1,0,0,0,0,0,63,212,3.365,18,69,3.833,37,23,3.178,3,8,143,188,45,37,3,37,2,29,0,0,2,2,2,7,42.286,0,37.857,9,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,3,3,27:39,W
NFC,NFC North,DET,REG,6,TCF Bank Stadium,52000,artificial,outdoor,55,Sunny,51,15,SSE,18,9,6,3,13,1,7.692,0,1,0,2,1,50,0,1,0,65,255,3.923,28,100,3.571,33,19,4.189,0,4,155,185,30,53,4,31,0,0,3,22,4,2,2,7,48.714,0,40.571,5,40,0,0,2,1,1,0,0,0,0,0,2,2,0,0,0,3,1,0,3,2,66.667,2,2,100,0,0,17,32:21,L
AFC,AFC East,MIA,REG,6,Sun Life Stadium,76100,turf,outdoor,88,Partly Cloudy ,63,15,E,19,12,5,2,10,4,40,4,0,0,1,0,0,0,0,0,55,349,6.345,23,112,4.87,31,20,7.406,2,1,237,244,7,0,0,0,2,91,0,0,5,5,4,3,42.333,0,22,5,25,1,1,3,2,1,0,0,0,0,0,3,3,0,0,0,1,1,0,4,3,75,2,1,50,0,3,24,22:32,L
NFC,NFC North,GB,REG,6,Sun Life Stadium,76100,turf,outdoor,88,Partly Cloudy ,63,15,E,27,17,8,2,17,8,47.059,6,2,0,1,1,100,1,0,0,79,369,4.671,34,121,3.559,42,24,5.511,0,3,248,264,16,49,2,41,1,33,2,8,6,5,3,4,34.4,1,30.4,4,44,1,0,3,3,0,0,0,0,0,0,3,3,0,0,0,2,2,0,5,3,60,3,3,100,0,0,27,37:28,W
AFC,AFC South,TEN,REG,6,LP Field,69143,turf,outdoor,63,Overcast ,100,4,S,14,9,3,2,11,3,27.273,3,0,0,0,0,0,0,0,0,55,287,5.218,24,70,2.917,28,17,7,0,3,217,233,16,50,4,16,1,50,1,34,5,5,4,5,49.8,0,39.8,5,48,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,3,3,0,3,1,33.333,2,1,50,0,0,16,28:53,W
